File #,Box,Total,Location,API,Operator,Lease,Well #,Sec,Tw,TwD,Rg,RgD,Quarter,Latitude,Longitude,County,State,Formation,Field,Top,Bottom,Type,Box Type,Condition,Diameter,Restrictions,Comments,,
3026,3,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5153,5156,Whole,4x4 Butt Box,Good,3.8,,,,
3026,4,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5156,5159,Whole,4x4 Butt Box,Good,3.8,,,,
3026,5,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5159,5162,Whole,4x4 Butt Box,Good,3.8,,,,
3026,6,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5162,5165,Whole,4x4 Butt Box,Good,3.8,,,,
3026,7,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5165,5168,Whole,4x4 Butt Box,Good,3.8,,,,
3026,8,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5168,5171,Whole,4x4 Butt Box,Good,3.8,,,,
3026,9,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5171,5174,Whole,4x4 Butt Box,Good,3.8,,,,
3026,10,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5174,5177,Whole,4x4 Butt Box,Good,3.8,,,,
3026,11,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5177,5180,Whole,4x4 Butt Box,Good,3.8,,,,
3026,12,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5180,5183,Whole,4x4 Butt Box,Good,3.8,,,,
3026,13,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5183,5186,Whole,4x4 Butt Box,Good,3.8,,,,
3026,14,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5186,5189,Whole,4x4 Butt Box,Good,3.8,,,,
